Ingredient_Name,Description,Health_Risk_Score,Is_Allergen
"Green 3","Artificial food coloring, also known as Fast Green FCF",4,FALSE
"BHT (Butylated Hydroxytoluene)","Synthetic antioxidant, used to prevent rancidity in fats and oils",3,FALSE
"BHA (Butylated Hydroxyanisole)","Synthetic antioxidant, used to prevent rancidity in fats and oils",3,FALSE
"Tocopherols (Vitamin E)","Natural antioxidant, used to prevent rancidity in fats and oils",1,FALSE
"Soy Protein Isolate","Protein derived from soybeans, often used as a food additive",2,FALSE
"Whey Protein Concentrate","Protein derived from whey, often used as a food additive",2,FALSE
"Casein","Protein derived from milk, used in cheese-making and as a food additive",2,FALSE
"Lactose","Sugar found in milk, can cause intolerance in some individuals",3,TRUE
"Nonfat Milk Solids","Dehydrated milk components, used as a food additive",2,FALSE
"Yeast Extract","Flavoring agent derived from yeast, used in savory foods",2,FALSE
"Autolyzed Yeast Extract","Flavoring agent derived from yeast, used in savory foods",2,FALSE
"Hydrolyzed Vegetable Protein","Flavor enhancer derived from vegetable protein",3,FALSE
"Gelatin","Protein derived from animal collagen, used as a gelling agent",3,TRUE
"Pectin","Natural gelling agent derived from fruits, used in jams and jellies",1,FALSE
"Agar","Gelling agent derived from seaweed, used in microbiology and food industry",1,FALSE
"Propylene Glycol","Humectant and solvent, used in food and pharmaceuticals",3,FALSE
"Sodium Citrate","Acidulent and emulsifier, used in food and beverages",2,FALSE
"Calcium Disodium EDTA","Chelating agent, used to prevent discoloration and rancidity in food",2,FALSE
"Tricalcium Phosphate","Calcium supplement and anti-caking agent",2,FALSE
"Ferric Orthophosphate","Iron supplement, used to fortify foods",1,FALSE
"Niacinamide","Vitamin B3, used as a nutrient supplement",1,FALSE
"Riboflavin","Vitamin B2, used as a nutrient supplement and food coloring",1,FALSE
"Thiamine Mononitrate","Vitamin B1, used as a nutrient supplement",1,FALSE
"Pyridoxine Hydrochloride","Vitamin B6, used as a nutrient supplement",1,FALSE
"Folic Acid","Vitamin B9, used as a nutrient supplement",1,FALSE
"Cyanocobalamin","Vitamin B12, used as a nutrient supplement",1,FALSE
"Calcium Pantothenate","Vitamin B5, used as a nutrient supplement",1,FALSE
"Biotin","Vitamin B7, used as a nutrient supplement",1,FALSE
"Magnesium Stearate","Flow agent and lubricant, used in supplements and pharmaceuticals",2,FALSE
"Silicon Dioxide","Anti-caking agent, used in food and pharmaceuticals",2,FALSE
"Titanium Dioxide","White pigment and opacifier, used in food and cosmetics",3,FALSE
"Methylcellulose","Thickening agent and emulsifier, used in food and pharmaceuticals",2,FALSE
"Sodium Carboxymethylcellulose","Thickening agent and stabilizer, used in food and pharmaceuticals",2,FALSE
"Polysorbate 60","Emulsifier, used in food and cosmetics",2,FALSE
"Polysorbate 80","Emulsifier, used in food and cosmetics",2,FALSE
"Edible Vegetable Oil","Edible vegetable oil is a crucial component in cooking and food preparation, derived from various plant sources",3.5,FALSE
"Soybean Oil","Vegetable oil derived from soybeans",2,FALSE
"Corn Oil","Vegetable oil derived from corn",2,FALSE
"Sunflower Oil","Vegetable oil derived from sunflower seeds",2,FALSE
"Cottonseed Oil","Vegetable oil derived from cotton seeds",3,FALSE
"Peanut Oil","Vegetable oil derived from peanuts",2,TRUE
"Hydrogenated Vegetable Oil","Vegetable oil treated with hydrogen to make it solid at room temperature",4,FALSE
"Partially Hydrogenated Vegetable Oil","Vegetable oil partially treated with hydrogen, containing trans fats",4,FALSE
"Cocoa Butter","Vegetable fat derived from cocoa beans, used in chocolate",2,FALSE
"Cocoa Mass","Ground cocoa beans, used in chocolate production",2,FALSE
"Cocoa Powder","Powdered cocoa solids, used in chocolate production",2,FALSE
"Malt Extract","Sweet syrup made from malted barley, used in brewing and baking",2,FALSE
"Barley Malt","Malted barley grains, used in brewing and baking",2,FALSE
"Corn Syrup Solids","Dehydrated corn syrup, used as a sweetener and food additive",3,FALSE
"Fructose","Simple sugar found in fruits and honey, used as a sweetener",3,FALSE
"Lactitol","Sugar alcohol derived from lactose, used as a sweetener",3,TRUE
"Isomalt","Sugar alcohol used as a sweetener, with a lower glycemic index",3,FALSE
"Erythritol","Sugar alcohol used as a sweetener, with zero calories",1,FALSE
"Mannitol","Sugar alcohol used as a sweetener and medication",3,FALSE
"Hydrogenated Starch Hydrolysates","Sugar alcohol derived from starch, used as a sweetener",3,FALSE
"Glucono Delta-Lactone","Acidulant and leavening agent, used in baking and dairy",2,FALSE
"Sodium Acid Pyrophosphate","Leavening agent, used in baking powder and to prevent discoloration",2,FALSE
"Sodium Metabisulfite","Preservative and antioxidant, used in food and beverages",3,FALSE
"Calcium Propionate","Preservative, used to prevent mold growth in bread and baked goods",2,FALSE
"Potassium Metabisulfite","Preservative and antioxidant, used in food and beverages",3,FALSE
"Ethyl Vanillin","Artificial vanilla flavoring compound",3,FALSE
"Vanillin","Synthetic vanilla flavoring compound",3,FALSE
"Maltol","Natural flavor enhancer with a caramel-like taste",2,FALSE
"Ethyl Maltol","Flavor enhancer with a sweet, caramel-like taste",2,FALSE
"Sodium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Potassium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Calcium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Gum Arabic","Natural gum derived from the sap of Acacia trees, used as a thickening agent",1,FALSE
"Tragacanth Gum","Natural gum derived from the sap of Astragalus plants, used as a thickening agent",1,FALSE
"Locust Bean Gum","Natural gum derived from the seeds of the carob tree, used as a thickening agent",1,FALSE
"Konjac Flour","Flour made from the root of the konjac plant, used as a thickening agent",1,FALSE
"Inulin","Type of dietary fiber found in plants, used as a prebiotic and sweetener",1,FALSE
"Chicory Root Fiber","Dietary fiber derived from the root of the chicory plant, used as a sweetener and prebiotic",1,FALSE
"Oligofructose","Type of dietary fiber, used as a sweetener and prebiotic",1,FALSE
"Polydextrose","Synthetic polymer of glucose, used as a sugar substitute and bulking agent",2,FALSE
"Resistant Dextrin","Type of dietary fiber, used as a prebiotic and thickening agent",1,FALSE
"Soy Flour","Flour made from ground soybeans",2,FALSE
"Almond Flour","Flour made from ground almonds",1,FALSE
"Coconut Flour","Flour made from dried coconut meat",1,FALSE
"Rice Flour","Flour made from ground rice grains",1,FALSE
"Potato Starch","Starch extracted from potatoes, used as a thickening agent",1,FALSE
"Arrowroot Powder","Starch obtained from the rhizomes of the arrowroot plant, used as a thickening agent",1,FALSE
"Tapioca Starch","Starch extracted from the roots of the cassava plant, used as a thickening agent",1,FALSE
"Sorghum Syrup","Sweet syrup made from sorghum grains",2,FALSE
"Brown Rice Syrup","Sweet syrup made from brown rice",2,FALSE
"Agave Syrup","Sweet syrup derived from the agave plant",3,FALSE
"Maple Syrup","Sweet syrup made from the sap of maple trees",1,FALSE
"Molasses","Thick, dark syrup obtained during the sugar refining process",2,FALSE
"Honey","Sweet viscous substance produced by bees",2,TRUE
"Invert Sugar","Mixture of glucose and fructose, used as a sweetener",3,FALSE
"Glucose-Fructose Syrup","Sweet syrup containing glucose and fructose, similar to high fructose corn syrup",3,FALSE
"Evaporated Cane Juice","Sweetener made from evaporated cane sugar juice",2,FALSE
"Brown Sugar","Sugar with molasses content, giving it a brown color and caramel flavor",2,FALSE
"Demerara Sugar","Type of raw cane sugar with large grains and a caramel flavor",2,FALSE
"Turbinado Sugar","Raw cane sugar, similar to Demerara sugar but with smaller grains",2,FALSE
"Muscovado Sugar","Unrefined brown sugar with a strong molasses flavor",2,FALSE
"Palm Sugar","Sugar derived from the sap of various palm trees",2,FALSE
"Date Sugar","Sugar made from dried dates",2,FALSE
"Steviol Glycosides","Sweet compounds derived from the stevia plant, used as a natural sweetener",1,FALSE
"Monk Fruit Extract","Sweetener derived from monk fruit, used as a natural sugar substitute",1,FALSE
"Thaumatin","Protein derived from the katemfe fruit, used as a natural sweetener",1,FALSE
"Neotame","Artificial sweetener, similar to aspartame but with a longer shelf life",4,FALSE
"Alitame","Artificial sweetener, similar to aspartame but with a longer shelf life",4,FALSE
"Cyclamate","Artificial sweetener, banned in some countries due to safety concerns",4,FALSE
"Saccharin","Artificial sweetener, used in various foods and beverages",3,FALSE
"Isomaltulose","Natural sweetener derived from sucrose, with a low glycemic index",1,FALSE
"Trehalose","Sugar found in mushrooms, yeast, and some insects, used as a sweetener",1,FALSE
"Cellulose Acetate","Synthetic compound derived from cellulose, used as a film former and plasticizer",3,FALSE
"Microcrystalline Cellulose","Synthetic compound derived from cellulose, used as a bulking agent and anti-caking agent",2,FALSE
"Calcium Sulfate","Food additive, used as a firming agent and dough conditioner",2,FALSE
"Calcium Lactate","Calcium salt of lactic acid, used as a calcium supplement and firming agent",1,FALSE
"Magnesium Carbonate","Inorganic compound, used as an anti-caking agent and dietary supplement",2,FALSE
"Sodium Bicarbonate","Chemical compound, commonly known as baking soda",1,FALSE
"Ammonium Bicarbonate","Leavening agent, used in baked goods",2,FALSE
"Calcium Chloride","Food additive, used as a firming agent and preservative",2,FALSE
"Sodium Chloride","Chemical compound, commonly known as table salt",1,FALSE
"Potassium Chloride","Salt substitute, used as a flavor enhancer",2,FALSE
"Sodium Lactate","Sodium salt of lactic acid, used as a preservative and flavor enhancer",2,FALSE
"Sodium Acetate","Sodium salt of acetic acid, used as a flavoring agent and preservative",2,FALSE
"Potassium Acetate","Potassium salt of acetic acid, used as a food additive and medication",2,FALSE
"Ammonium Acetate","Ammonium salt of acetic acid, used as a food additive and in chemical synthesis",2,FALSE
"Magnesium Oxide","Inorganic compound, used as a dietary supplement and antacid",2,FALSE
"Zinc Oxide","Inorganic compound, used as a dietary supplement and in food fortification",2,FALSE
"Ferric Sulfate","Iron supplement, used to fortify foods",1,FALSE
"Ferrous Gluconate","Iron supplement, used to treat iron deficiency",1,FALSE
"Sodium Selenite","Inorganic compound, used as a dietary supplement",2,FALSE
"Potassium Iodide","Compound used to prevent iodine deficiency",1,FALSE
"Potassium Nitrate","Compound used as a preservative in food and fertilizer in agriculture",3,FALSE
"Sodium Nitrite","Preservative and coloring agent, used in cured meats",4,FALSE
"Calcium Peroxide","Compound used as a food additive and dough conditioner",2,FALSE
"Silicon Dioxide","Anti-caking agent, used in food and pharmaceuticals",2,FALSE
"Talc","Inert mineral used as an anti-caking agent and filler in food",3,FALSE
"Calcium Carbonate","Calcium supplement and acidity regulator",1,FALSE
"Calcium Silicate","Anti-caking agent and anti-foaming agent, used in food and cosmetics",2,FALSE
"Magnesium Silicate","Anti-caking agent and opacifying agent, used in food and cosmetics",2,FALSE
"Sodium Silicoaluminate","Anti-caking agent, used in food processing",2,FALSE
"Potassium Silicoaluminate","Anti-caking agent, used in food processing",2,FALSE
"Bentonite","Clay mineral, used as a clarifying agent in wine and beer production",1,FALSE
"Kaolin","Clay mineral, used as an anti-caking agent and filler in food",1,FALSE
"Zein","Protein derived from maize (corn), used as a coating in food and pharmaceuticals",2,FALSE
"Lecithin","Emulsifier derived from soybeans or egg yolks, used in food production",2,FALSE
"Choline Bitartrate","Nutrient supplement, used to support liver function and brain health",1,FALSE
"Phosphoric Acid","Food additive, used as an acidulant and flavoring agent",3,FALSE
"Sodium Phosphate","Food additive, used as a texturizer and emulsifier",2,FALSE
"Potassium Phosphate","Food additive, used as a buffering agent and emulsifier",2,FALSE
"Calcium Phosphate","Food additive, used as a nutrient supplement and anti-caking agent",2,FALSE
"Ammonium Phosphate","Food additive, used as a nutrient supplement and leavening agent",2,FALSE
"Magnesium Phosphate","Food additive, used as a nutrient supplement",1,FALSE
"Sodium Hexametaphosphate","Food additive, used as a sequestrant and emulsifier",2,FALSE
"Sodium Tripolyphosphate","Food additive, used as a preservative and emulsifier",2,FALSE
"Sodium Pyrophosphate","Food additive, used as a leavening agent and emulsifier",2,FALSE
"Sodium Acid Pyrophosphate","Leavening agent, used in baking powder and to prevent discoloration",2,FALSE
"Tetrasodium Pyrophosphate","Food additive, used as a buffering agent and emulsifier",2,FALSE
"Monocalcium Phosphate","Leavening agent, used in baking powder",2,FALSE
"Dicalcium Phosphate","Food additive, used as a nutrient supplement and anti-caking agent",2,FALSE
"Tricalcium Phosphate","Calcium supplement and anti-caking agent",2,FALSE
"Ferric Phosphate","Iron supplement, used to fortify foods",1,FALSE
"Calcium Lactate","Calcium supplement and acidity regulator",1,FALSE
"Sodium Lactate","Sodium salt of lactic acid, used as a preservative and flavor enhancer",2,FALSE
"Tartaric Acid","Organic acid, found naturally in many plants, used as an acidulant in food and beverages",2,FALSE
"Citric Acid","Organic acid, found naturally in citrus fruits, used as an acidulant and flavoring agent",2,FALSE
"Malic Acid","Organic acid, found naturally in fruits, used as an acidulant and flavoring agent",2,FALSE
"Fumaric Acid","Organic acid, used as an acidulant and flavoring agent in food and beverages",2,FALSE
"Succinic Acid","Organic acid, found naturally in some fruits and vegetables, used as an acidulant and flavoring agent",2,FALSE
"Adipic Acid","Organic acid, used as an acidulant and flavoring agent in food and beverages",3,FALSE
"Acetic Acid","Organic acid, found naturally in vinegar, used as a preservative and flavoring agent",2,FALSE
"Lactic Acid","Organic acid, produced during fermentation, used as an acidulant and flavoring agent",2,FALSE
"Sorbic Acid","Organic acid, used as a preservative in food and beverages",2,FALSE
"Benzoic Acid","Organic acid, used as a preservative in food and beverages",3,FALSE
"Propionic Acid","Organic acid, used as a preservative in food and beverages",3,FALSE
"Butyric Acid","Organic acid, found naturally in butter, used as a flavoring agent",2,FALSE
"Caproic Acid","Organic acid, found naturally in some animal fats, used as a flavoring agent",2,FALSE
"Caprylic Acid","Organic acid, found naturally in coconut oil, used as a flavoring agent",2,FALSE
"Capric Acid","Organic acid, found naturally in coconut oil, used as a flavoring agent",2,FALSE
"Lauric Acid","Fatty acid, found naturally in coconut oil, used as a flavoring agent",2,FALSE
"Myristic Acid","Fatty acid, found naturally in some fats and oils, used as a flavoring agent",2,FALSE
"Palmitic Acid","Fatty acid, found naturally in many animal and vegetable fats, used as a flavoring agent",2,FALSE
"Stearic Acid","Fatty acid, found naturally in many animal and vegetable fats, used as a flavoring agent",2,FALSE
"Oleic Acid","Monounsaturated fatty acid, found naturally in olive oil and other fats, used as a flavoring agent",2,FALSE
"Linoleic Acid","Polyunsaturated fatty acid, essential for human health, found in many vegetable oils",1,FALSE
"Alpha-Linolenic Acid","Polyunsaturated fatty acid, essential for human health, found in flaxseed, chia seeds, and walnuts",1,FALSE
"Arachidonic Acid","Polyunsaturated fatty acid, important for brain function, found in animal fats",1,FALSE
"Eicosapentaenoic Acid (EPA)","Omega-3 fatty acid, found in fatty fish like salmon and mackerel, important for heart health",1,FALSE
"Docosahexaenoic Acid (DHA)","Omega-3 fatty acid, found in fatty fish like salmon and mackerel, important for brain health",1,FALSE
"Isopropyl Alcohol","Alcohol compound, used as a solvent and disinfectant",3,FALSE
"Ethanol","Alcohol compound, commonly known as drinking alcohol, used in beverages and as a solvent",3,FALSE
"Methanol","Toxic alcohol compound, sometimes used as a solvent and fuel",4,FALSE
"Butanol","Alcohol compound, used as a solvent and fuel",3,FALSE
"Propylene Glycol Alginate","Ester of alginic acid, used as a stabilizer and thickener in food and beverages",2,FALSE
"Sodium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Potassium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Calcium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Magnesium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Gellan Gum","Microbial polysaccharide, used as a gelling agent and stabilizer in food and beverages",1,FALSE
"Tara Gum","Polysaccharide derived from the seeds of the tara tree, used as a thickener and stabilizer",1,FALSE
"Karaya Gum","Gum derived from the sap of the karaya tree, used as a thickener and stabilizer in food and pharmaceuticals",1,FALSE
"Gum Ghatti","Natural gum derived from the sap of the Indian tree Anogeissus latifolia, used as a thickener and stabilizer",1,FALSE
"Carob Bean Gum","Polysaccharide derived from the seeds of the carob tree, used as a thickener and stabilizer",1,FALSE
"Mesquite Gum","Natural gum derived from the mesquite tree, used as a thickener and stabilizer",1,FALSE
"Sodium Caseinate","Protein derived from milk, used as a food additive and emulsifier",2,TRUE
"Calcium Caseinate","Protein derived from milk, used as a food additive and emulsifier",2,TRUE
"Potassium Caseinate","Protein derived from milk, used as a food additive and emulsifier",2,TRUE
"Ammonium Caseinate","Protein derived from milk, used as a food additive and emulsifier",2,TRUE
"Whey Protein Isolate","Protein derived from whey, used as a dietary supplement and food additive",2,FALSE
"Whey Protein Hydrolysate","Pre-digested form of whey protein, used as a dietary supplement and food additive",2,FALSE
"Pea Protein","Protein derived from peas, used as a dietary supplement and food additive",1,FALSE
"Rice Protein","Protein derived from rice, used as a dietary supplement and food additive",1,FALSE
"Hemp Protein","Protein derived from hemp seeds, used as a dietary supplement and food additive",1,FALSE
"Pumpkin Seed Protein","Protein derived from pumpkin seeds, used as a dietary supplement and food additive",1,FALSE
"Chia Protein","Protein derived from chia seeds, used as a dietary supplement and food additive",1,FALSE
"Flaxseed Protein","Protein derived from flaxseeds, used as a dietary supplement and food additive",1,FALSE
"Sunflower Protein","Protein derived from sunflower seeds, used as a dietary supplement and food additive",1,FALSE
"Rapeseed Protein","Protein derived from rapeseeds, used as a dietary supplement and food additive",1,FALSE
"Sacha Inchi Protein","Protein derived from sacha inchi seeds, used as a dietary supplement",1,FALSE
"Tartaric Acid","Organic acid, found naturally in many plants, used as an acidulant in food and beverages",2,FALSE
"Citric Acid","Organic acid, found naturally in citrus fruits, used as an acidulant and flavoring agent",2,FALSE
"Malic Acid","Organic acid, found naturally in fruits, used as an acidulant and flavoring agent",2,FALSE
"Fumaric Acid","Organic acid, used as an acidulant and flavoring agent in food and beverages",2,FALSE
"Succinic Acid","Organic acid, found naturally in some fruits and vegetables, used as an acidulant and flavoring agent",2,FALSE
"Adipic Acid","Organic acid, used as an acidulant and flavoring agent in food and beverages",3,FALSE
"Acetic Acid","Organic acid, found naturally in vinegar, used as a preservative and flavoring agent",2,FALSE
"Lactic Acid","Organic acid, produced during fermentation, used as an acidulant and flavoring agent",2,FALSE
"Sorbic Acid","Organic acid, used as a preservative in food and beverages",2,FALSE
"Benzoic Acid","Organic acid, used as a preservative in food and beverages",3,FALSE
"Propionic Acid","Organic acid, used as a preservative in food and beverages",3,FALSE
"Butyric Acid","Organic acid, found naturally in butter, used as a flavoring agent",2,FALSE
"Caproic Acid","Organic acid, found naturally in some animal fats, used as a flavoring agent",2,FALSE
"Caprylic Acid","Organic acid, found naturally in coconut oil, used as a flavoring agent",2,FALSE
"Capric Acid","Organic acid, found naturally in coconut oil, used as a flavoring agent",2,FALSE
"Lauric Acid","Fatty acid, found naturally in coconut oil, used as a flavoring agent",2,FALSE
"Myristic Acid","Fatty acid, found naturally in some fats and oils, used as a flavoring agent",2,FALSE
"Palmitic Acid","Fatty acid, found naturally in many animal and vegetable fats, used as a flavoring agent",2,FALSE
"Stearic Acid","Fatty acid, found naturally in many animal and vegetable fats, used as a flavoring agent",2,FALSE
"Oleic Acid","Monounsaturated fatty acid, found naturally in olive oil and other fats, used as a flavoring agent",2,FALSE
"Linoleic Acid","Polyunsaturated fatty acid, essential for human health, found in many vegetable oils",1,FALSE
"Alpha-Linolenic Acid","Polyunsaturated fatty acid, essential for human health, found in flaxseed, chia seeds, and walnuts",1,FALSE
"Arachidonic Acid","Polyunsaturated fatty acid, important for brain function, found in animal fats",1,FALSE
"Eicosapentaenoic Acid (EPA)","Omega-3 fatty acid, found in fatty fish like salmon and mackerel, important for heart health",1,FALSE
"Docosahexaenoic Acid (DHA)","Omega-3 fatty acid, found in fatty fish like salmon and mackerel, important for brain health",1,FALSE
"Isopropyl Alcohol","Alcohol compound, used as a solvent and disinfectant",3,FALSE
"Ethanol","Alcohol compound, commonly known as drinking alcohol, used in beverages and as a solvent",3,FALSE
"Methanol","Toxic alcohol compound, sometimes used as a solvent and fuel",4,FALSE
"Butanol","Alcohol compound, used as a solvent and fuel",3,FALSE
"Propylene Glycol Alginate","Ester of alginic acid, used as a stabilizer and thickener in food and beverages",2,FALSE
"Sodium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Potassium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Calcium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Magnesium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Gellan Gum","Microbial polysaccharide, used as a gelling agent and stabilizer in food and beverages",1,FALSE
"Tara Gum","Polysaccharide derived from the seeds of the tara tree, used as a thickener and stabilizer",1,FALSE
"Karaya Gum","Gum derived from the sap of the karaya tree, used as a thickener and stabilizer in food and pharmaceuticals",1,FALSE
"Gum Ghatti","Natural gum derived from the sap of the Indian tree Anogeissus latifolia, used as a thickener and stabilizer",1,FALSE
"Carob Bean Gum","Polysaccharide derived from the seeds of the carob tree, used as a thickener and stabilizer",1,FALSE
"Mesquite Gum","Natural gum derived from the mesquite tree, used as a thickener and stabilizer",1,FALSE
"Sodium Caseinate","Protein derived from milk, used as a food additive and emulsifier",2,TRUE
"Calcium Caseinate","Protein derived from milk, used as a food additive and emulsifier",2,TRUE
"Potassium Caseinate","Protein derived from milk, used as a food additive and emulsifier",2,TRUE
"Ammonium Caseinate","Protein derived from milk, used as a food additive and emulsifier",2,TRUE
"Whey Protein Isolate","Protein derived from whey, used as a dietary supplement and food additive",2,FALSE
"Whey Protein Hydrolysate","Pre-digested form of whey protein, used as a dietary supplement and food additive",2,FALSE
"Pea Protein","Protein derived from peas, used as a dietary supplement and food additive",1,FALSE
"Rice Protein","Protein derived from rice, used as a dietary supplement and food additive",1,FALSE
"Hemp Protein","Protein derived from hemp seeds, used as a dietary supplement and food additive",1,FALSE
"Pumpkin Seed Protein","Protein derived from pumpkin seeds, used as a dietary supplement and food additive",1,FALSE
"Chia Protein","Protein derived from chia seeds, used as a dietary supplement and food additive",1,FALSE
"Flaxseed Protein","Protein derived from flaxseeds, used as a dietary supplement and food additive",1,FALSE
"Sunflower Protein","Protein derived from sunflower seeds, used as a dietary supplement and food additive",1,FALSE
"Rapeseed Protein","Protein derived from rapeseeds, used as a dietary supplement and food additive",1,FALSE

"Tartaric Acid","Organic acid, found naturally in many plants, used as an acidulant in food and beverages",2,FALSE
"Citric Acid","Organic acid, found naturally in citrus fruits, used as an acidulant and flavoring agent",2,FALSE
"Malic Acid","Organic acid, found naturally in fruits, used as an acidulant and flavoring agent",2,FALSE
"Fumaric Acid","Organic acid, used as an acidulant and flavoring agent in food and beverages",2,FALSE
"Succinic Acid","Organic acid, found naturally in some fruits and vegetables, used as an acidulant and flavoring agent",2,FALSE
"Adipic Acid","Organic acid, used as an acidulant and flavoring agent in food and beverages",3,FALSE
"Acetic Acid","Organic acid, found naturally in vinegar, used as a preservative and flavoring agent",2,FALSE
"Lactic Acid","Organic acid, produced during fermentation, used as an acidulant and flavoring agent",2,FALSE
"Sorbic Acid","Organic acid, used as a preservative in food and beverages",2,FALSE
"Benzoic Acid","Organic acid, used as a preservative in food and beverages",3,FALSE
"Propionic Acid","Organic acid, used as a preservative in food and beverages",3,FALSE
"Butyric Acid","Organic acid, found naturally in butter, used as a flavoring agent",2,FALSE
"Caproic Acid","Organic acid, found naturally in some animal fats, used as a flavoring agent",2,FALSE
"Caprylic Acid","Organic acid, found naturally in coconut oil, used as a flavoring agent",2,FALSE
"Capric Acid","Organic acid, found naturally in coconut oil, used as a flavoring agent",2,FALSE
"Lauric Acid","Fatty acid, found naturally in coconut oil, used as a flavoring agent",2,FALSE
"Myristic Acid","Fatty acid, found naturally in some fats and oils, used as a flavoring agent",2,FALSE
"Palmitic Acid","Fatty acid, found naturally in many animal and vegetable fats, used as a flavoring agent",2,FALSE
"Stearic Acid","Fatty acid, found naturally in many animal and vegetable fats, used as a flavoring agent",2,FALSE
"Oleic Acid","Monounsaturated fatty acid, found naturally in olive oil and other fats, used as a flavoring agent",2,FALSE
"Linoleic Acid","Polyunsaturated fatty acid, essential for human health, found in many vegetable oils",1,FALSE
"Alpha-Linolenic Acid","Polyunsaturated fatty acid, essential for human health, found in flaxseed, chia seeds, and walnuts",1,FALSE
"Arachidonic Acid","Polyunsaturated fatty acid, important for brain function, found in animal fats",1,FALSE
"Eicosapentaenoic Acid (EPA)","Omega-3 fatty acid, found in fatty fish like salmon and mackerel, important for heart health",1,FALSE
"Docosahexaenoic Acid (DHA)","Omega-3 fatty acid, found in fatty fish like salmon and mackerel, important for brain health",1,FALSE
"Isopropyl Alcohol","Alcohol compound, used as a solvent and disinfectant",3,FALSE
"Ethanol","Alcohol compound, commonly known as drinking alcohol, used in beverages and as a solvent",3,FALSE
"Methanol","Toxic alcohol compound, sometimes used as a solvent and fuel",4,FALSE
"Butanol","Alcohol compound, used as a solvent and fuel",3,FALSE
"Propylene Glycol Alginate","Ester of alginic acid, used as a stabilizer and thickener in food and beverages",2,FALSE
"Sodium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Potassium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Calcium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Magnesium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
